transaction_id,user_id,amount,transaction_time,merchant_category,location,device_type,payment_method,failed_attempts,is_fraud
100001,1809,71671.78,2026-05-15 18:47:26,Electronics,Pune,Mobile,Wallet,4,False
100002,1543,104742.0,2026-03-03 03:32:47,Luxury,Bangalore,Web,Wallet,3,True
100003,1525,54030.47,2026-05-16 13:38:19,Luxury,Delhi,Web,UPI,1,False
100004,825,7495.07,2026-02-25 01:37:12,Food,Pune,Mobile,Card,1,False
100005,1433,30780.17,2026-01-30 19:47:26,Electronics,Bangalore,Mobile,UPI,3,False
100006,1136,114294.12,2026-03-17 12:05:06,Luxury,Hyderabad,Mobile,UPI,2,False
100007,1196,39494.05,2026-04-21 13:38:34,Jewelry,Chennai,Web,Wallet,4,False
100008,1047,99925.54,2026-05-13 05:28:36,Jewelry,Chennai,POS,Net Banking,3,False
100009,800,94195.58,2026-03-24 16:00:20,Electronics,Bangalore,Mobile,Card,4,False
100010,508,5528.77,2026-05-02 18:47:30,Food,Chennai,POS,Card,5,False
100011,1914,149169.59,2026-06-23 00:41:26,Luxury,Delhi,Web,Net Banking,1,False
100012,603,43297.31,2026-05-26 05:06:19,Luxury,Chennai,Mobile,Card,0,False
100013,1886,8385.25,2026-04-10 10:03:07,Electronics,Hyderabad,POS,UPI,1,False
100014,605,95083.36,2026-05-21 02:15:36,Electronics,Bangalore,Mobile,Card,3,True
100015,836,59334.82,2026-02-14 23:04:24,Jewelry,Mumbai,POS,Net Banking,1,False
100016,1226,82096.61,2026-03-12 04:56:21,Electronics,Chennai,POS,UPI,1,False
100017,1115,87486.31,2026-03-27 19:16:27,Luxury,Chennai,POS,Wallet,0,False
100018,1475,147325.19,2026-03-30 20:34:28,Food,Delhi,POS,UPI,2,False
100019,1545,64080.34,2026-03-05 16:42:43,Jewelry,Hyderabad,POS,Card,2,False
100020,1203,95711.2,2026-05-28 07:54:04,Electronics,Mumbai,POS,Net Banking,3,False
100021,784,14130.95,2026-02-01 00:24:49,Electronics,Mumbai,Web,Net Banking,0,False
100022,1911,148185.04,2026-05-24 04:35:48,Luxury,Chennai,Mobile,Net Banking,5,True
100023,939,41145.08,2026-04-17 00:44:13,Jewelry,Mumbai,Mobile,Wallet,2,False
100024,1566,15410.01,2026-04-30 22:56:42,Jewelry,Delhi,Mobile,Wallet,1,False
